,countryiso3code,country,date,life_expectancy,gdp_per_capita,health_expenditure,unemployment_rate,log_gdp,le_group,unem_group
0,AFE,Africa Eastern and Southern,2022,64.4871517904367,1679.32762166466,92.0352883967091,7.86947018999245,7.426148767086216,High,Low Unemployment
1,AFW,Africa Western and Central,2022,57.9878499444678,2138.47315259913,74.4412528236061,3.59335356570127,7.667847373273979,High,Low Unemployment
2,ARB,Arab World,2022,71.8760955992222,7950.35581975672,348.767262238545,9.74413095599936,8.980971963848907,High,Low Unemployment
3,CSS,Caribbean small states,2022,72.8322921090607,17456.3084845676,915.955448715908,8.29867755889038,9.767456380039043,High,Low Unemployment
4,CEB,Central Europe and the Baltics,2022,76.6522987292583,19530.1553232172,1374.1600690946,3.96540582731722,9.879714976896816,High,Low Unemployment
5,EAR,Early-demographic dividend,2022,71.4304552508694,4043.82776331568,191.392926293627,5.64296814018676,8.304946988559683,High,Low Unemployment
6,EAS,East Asia & Pacific,2022,76.6767167147452,13139.2109813612,905.114818668488,4.10032254258298,9.483356243155125,High,Low Unemployment
7,EAP,East Asia & Pacific (excluding high income),2022,75.9325409436903,10106.9935977814,566.030286298373,4.23491194246921,9.220982898630453,High,Low Unemployment
8,TEA,East Asia & Pacific (IDA & IBRD countries),2022,75.9610347461336,10220.4774431567,566.052535523033,4.24711639501186,9.232148579218048,High,Low Unemployment
9,EMU,Euro area,2022,81.6229719062905,41608.7123275598,4440.78663278001,6.77735729230381,10.63606485527271,High,Low Unemployment
10,ECS,Europe & Central Asia,2022,77.834452247983,27913.5882331645,2811.91545037396,5.8461378752333,10.23686888269392,High,Low Unemployment
11,ECA,Europe & Central Asia (excluding high income),2022,74.5731684190474,7266.02243154199,366.115150801706,7.71538545377934,8.890964299969058,High,Low Unemployment
12,TEC,Europe & Central Asia (IDA & IBRD countries),2022,74.1883654842503,11421.1364427001,732.6197329168,5.62584537984402,9.343220991630162,High,Low Unemployment
13,EUU,European Union,2022,80.7133260356871,38066.8844892624,3922.69600424695,6.16136079316676,10.547100009654304,High,Low Unemployment
14,FCS,Fragile and conflict affected situations,2022,62.702271566254,1850.91743054769,72.8781507440048,5.66963973502859,7.523436703554592,High,Low Unemployment
15,HPC,Heavily indebted poor countries (HIPC),2022,63.8404661926623,1121.48387311982,50.2027951771848,4.43078249558701,7.022407974115295,High,Low Unemployment
16,,High income,2022,79.4267769342303,46553.1150181383,5837.66878621092,4.50967085383543,10.74834919814921,High,Low Unemployment
17,,High income,2022,79.4267769342303,46553.1150181383,5837.66878621092,5.672232196208,10.74834919814921,High,Low Unemployment
18,,High income,2022,79.4267769342303,46553.1150181383,5837.66878621092,4.77300365505371,10.74834919814921,High,Low Unemployment
19,,High income,2022,79.4267769342303,46553.1150181383,5837.66878621092,,10.74834919814921,High,
20,,High income,2022,79.4267769342303,46553.1150181383,5837.66878621092,6.0139105551006,10.74834919814921,High,Low Unemployment
21,,High income,2022,79.4267769342303,46553.1150181383,40.264442766294,4.50967085383543,10.74834919814921,High,Low Unemployment
22,,High income,2022,79.4267769342303,46553.1150181383,40.264442766294,5.672232196208,10.74834919814921,High,Low Unemployment
23,,High income,2022,79.4267769342303,46553.1150181383,40.264442766294,4.77300365505371,10.74834919814921,High,Low Unemployment
24,,High income,2022,79.4267769342303,46553.1150181383,40.264442766294,,10.74834919814921,High,
25,,High income,2022,79.4267769342303,46553.1150181383,40.264442766294,6.0139105551006,10.74834919814921,High,Low Unemployment
26,,High income,2022,79.4267769342303,46553.1150181383,93.7196113288266,4.50967085383543,10.74834919814921,High,Low Unemployment
27,,High income,2022,79.4267769342303,46553.1150181383,93.7196113288266,5.672232196208,10.74834919814921,High,Low Unemployment
28,,High income,2022,79.4267769342303,46553.1150181383,93.7196113288266,4.77300365505371,10.74834919814921,High,Low Unemployment
29,,High income,2022,79.4267769342303,46553.1150181383,93.7196113288266,,10.74834919814921,High,
30,,High income,2022,79.4267769342303,46553.1150181383,93.7196113288266,6.0139105551006,10.74834919814921,High,Low Unemployment
31,,High income,2022,79.4267769342303,46553.1150181383,,4.50967085383543,10.74834919814921,High,Low Unemployment
32,,High income,2022,79.4267769342303,46553.1150181383,,5.672232196208,10.74834919814921,High,Low Unemployment
33,,High income,2022,79.4267769342303,46553.1150181383,,4.77300365505371,10.74834919814921,High,Low Unemployment
34,,High income,2022,79.4267769342303,46553.1150181383,,,10.74834919814921,High,
35,,High income,2022,79.4267769342303,46553.1150181383,,6.0139105551006,10.74834919814921,High,Low Unemployment
36,,High income,2022,79.4267769342303,46553.1150181383,618.84502765484,4.50967085383543,10.74834919814921,High,Low Unemployment
37,,High income,2022,79.4267769342303,46553.1150181383,618.84502765484,5.672232196208,10.74834919814921,High,Low Unemployment
38,,High income,2022,79.4267769342303,46553.1150181383,618.84502765484,4.77300365505371,10.74834919814921,High,Low Unemployment
39,,High income,2022,79.4267769342303,46553.1150181383,618.84502765484,,10.74834919814921,High,
40,,High income,2022,79.4267769342303,46553.1150181383,618.84502765484,6.0139105551006,10.74834919814921,High,Low Unemployment
41,,High income,2022,79.4267769342303,734.204117595357,5837.66878621092,4.50967085383543,6.598787079321806,High,Low Unemployment
42,,High income,2022,79.4267769342303,734.204117595357,5837.66878621092,5.672232196208,6.598787079321806,High,Low Unemployment
43,,High income,2022,79.4267769342303,734.204117595357,5837.66878621092,4.77300365505371,6.598787079321806,High,Low Unemployment
44,,High income,2022,79.4267769342303,734.204117595357,5837.66878621092,,6.598787079321806,High,
45,,High income,2022,79.4267769342303,734.204117595357,5837.66878621092,6.0139105551006,6.598787079321806,High,Low Unemployment
46,,High income,2022,79.4267769342303,734.204117595357,40.264442766294,4.50967085383543,6.598787079321806,High,Low Unemployment
47,,High income,2022,79.4267769342303,734.204117595357,40.264442766294,5.672232196208,6.598787079321806,High,Low Unemployment
48,,High income,2022,79.4267769342303,734.204117595357,40.264442766294,4.77300365505371,6.598787079321806,High,Low Unemployment
49,,High income,2022,79.4267769342303,734.204117595357,40.264442766294,,6.598787079321806,High,
50,,High income,2022,79.4267769342303,734.204117595357,40.264442766294,6.0139105551006,6.598787079321806,High,Low Unemployment
51,,High income,2022,79.4267769342303,734.204117595357,93.7196113288266,4.50967085383543,6.598787079321806,High,Low Unemployment
52,,High income,2022,79.4267769342303,734.204117595357,93.7196113288266,5.672232196208,6.598787079321806,High,Low Unemployment
53,,High income,2022,79.4267769342303,734.204117595357,93.7196113288266,4.77300365505371,6.598787079321806,High,Low Unemployment
54,,High income,2022,79.4267769342303,734.204117595357,93.7196113288266,,6.598787079321806,High,
55,,High income,2022,79.4267769342303,734.204117595357,93.7196113288266,6.0139105551006,6.598787079321806,High,Low Unemployment
56,,High income,2022,79.4267769342303,734.204117595357,,4.50967085383543,6.598787079321806,High,Low Unemployment
57,,High income,2022,79.4267769342303,734.204117595357,,5.672232196208,6.598787079321806,High,Low Unemployment
58,,High income,2022,79.4267769342303,734.204117595357,,4.77300365505371,6.598787079321806,High,Low Unemployment
59,,High income,2022,79.4267769342303,734.204117595357,,,6.598787079321806,High,
60,,High income,2022,79.4267769342303,734.204117595357,,6.0139105551006,6.598787079321806,High,Low Unemployment
61,,High income,2022,79.4267769342303,734.204117595357,618.84502765484,4.50967085383543,6.598787079321806,High,Low Unemployment
62,,High income,2022,79.4267769342303,734.204117595357,618.84502765484,5.672232196208,6.598787079321806,High,Low Unemployment
63,,High income,2022,79.4267769342303,734.204117595357,618.84502765484,4.77300365505371,6.598787079321806,High,Low Unemployment
64,,High income,2022,79.4267769342303,734.204117595357,618.84502765484,,6.598787079321806,High,
65,,High income,2022,79.4267769342303,734.204117595357,618.84502765484,6.0139105551006,6.598787079321806,High,Low Unemployment
66,,High income,2022,79.4267769342303,2493.61487371356,5837.66878621092,4.50967085383543,7.821488693190536,High,Low Unemployment
67,,High income,2022,79.4267769342303,2493.61487371356,5837.66878621092,5.672232196208,7.821488693190536,High,Low Unemployment
68,,High income,2022,79.4267769342303,2493.61487371356,5837.66878621092,4.77300365505371,7.821488693190536,High,Low Unemployment
69,,High income,2022,79.4267769342303,2493.61487371356,5837.66878621092,,7.821488693190536,High,
70,,High income,2022,79.4267769342303,2493.61487371356,5837.66878621092,6.0139105551006,7.821488693190536,High,Low Unemployment
71,,High income,2022,79.4267769342303,2493.61487371356,40.264442766294,4.50967085383543,7.821488693190536,High,Low Unemployment
72,,High income,2022,79.4267769342303,2493.61487371356,40.264442766294,5.672232196208,7.821488693190536,High,Low Unemployment
73,,High income,2022,79.4267769342303,2493.61487371356,40.264442766294,4.77300365505371,7.821488693190536,High,Low Unemployment
74,,High income,2022,79.4267769342303,2493.61487371356,40.264442766294,,7.821488693190536,High,
